,0,1,SAL_CODE
208,Marangaroo,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50896/download/GCP_SAL50896.xlsx,50896
209,Mardella,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50901/download/GCP_SAL50901.xlsx,50901
210,Mariginiup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50904/download/GCP_SAL50904.xlsx,50904
211,Marmion,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50905/download/GCP_SAL50905.xlsx,50905
212,Martin,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50911/download/GCP_SAL50911.xlsx,50911
213,Maylands,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50917/download/GCP_SAL50917.xlsx,50917
214,Meadow Springs,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50922/download/GCP_SAL50922.xlsx,50922
215,Medina,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50925/download/GCP_SAL50925.xlsx,50925
216,Melville,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50932/download/GCP_SAL50932.xlsx,50932
217,Menora,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50933/download/GCP_SAL50933.xlsx,50933
218,Merriwa,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50939/download/GCP_SAL50939.xlsx,50939
219,Middle Swan,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50944/download/GCP_SAL50944.xlsx,50944
220,Midland,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50947/download/GCP_SAL50947.xlsx,50947
